450 931
392 448 2.62
392 299 24.91
392 228 20.55
393 421 18.87
393 362 18.06
393 439 8.52
394 144 5.54
394 312 11.78
395 443 17.52
395 297 9.77
395 250 8.17
395 422 16.93
395 236 10.69
397 431 5.37
397 315 21.08
398 296 11.89
398 331 18.16
398 357 13.71
399 449 24.62
399 144 9.14
399 414 9.89
400 306 18.48
400 235 14.91
400 384 22.82
400 439 20.19
400 426 10.87
401 358 12.28
401 448 22.27
401 383 13.82
401 204 9.99
401 237 14.89
401 417 2.36
401 429 2.22
402 358 5.48
402 104 18.13
402 34 24.17
403 383 8.38
403 231 17.74
403 448 16.68
403 305 19.86
403 443 19.19
403 311 3.87
404 415 13.90
404 158 7.49
404 181 4.10
404 144 20.78
404 204 3.35
405 166 5.45
405 388 18.67
405 290 13.42
405 200 19.16
405 347 4.40
406 257 15.93
406 109 23.82
406 447 3.98
406 371 6.28
406 226 8.20
406 299 20.57
407 441 23.37
407 279 8.31
407 447 10.11
407 378 24.72
408 442 23.22
408 189 13.68
408 168 21.68
409 418 19.69
409 187 19.04
410 276 18.58
410 292 10.04
410 322 8.94
410 415 9.92
410 386 9.47
411 358 4.70
411 429 21.19
411 344 1.77
411 337 16.25
411 21 1.06
411 436 19.00
411 308 8.72
412 429 15.11
412 87 2.85
412 447 14.35
412 433 9.36
412 380 14.76
412 441 18.35
412 375 10.98
412 270 14.61
413 283 23.92
413 304 5.08
413 236 5.38
413 446 7.91
413 90 17.64
414 399 9.74
414 339 1.96
414 447 10.56
414 12 8.34
414 246 18.07
415 410 10.36
415 152 8.91
415 419 3.26
415 425 1.57
415 366 4.51
415 297 20.11
415 404 2.11
415 111 11.55
416 438 3.21
416 9 9.33
416 274 8.57
416 3 15.55
416 436 12.12
416 354 6.95
417 401 17.53
417 444 22.65
417 431 10.65
418 429 18.72
418 361 23.74
418 240 24.56
418 64 11.74
418 409 5.50
418 430 13.61
418 277 11.21
419 434 18.17
419 415 5.31
419 210 9.96
419 7 19.53
419 436 23.17
419 284 2.56
420 136 11.38
420 73 18.21
420 428 23.03
420 340 1.08
420 265 16.11
421 438 19.26
421 176 21.58
421 12 1.83
421 393 20.02
421 391 3.01
421 390 18.17
421 430 5.87
422 425 10.52
422 105 23.30
422 220 6.96
422 395 7.56
422 374 14.15
422 257 7.76
422 336 3.25
422 162 2.49
423 296 3.62
423 337 3.74
423 318 4.60
423 90 23.12
424 437 9.99
424 359 24.73
424 203 22.55
424 285 10.76
424 427 5.75
424 372 8.10
425 422 20.54
425 415 16.61
425 237 24.63
425 204 22.66
425 143 13.98
425 238 12.68
425 98 11.79
425 223 13.15
426 400 24.05
426 338 21.41
426 48 14.21
426 118 12.06
426 346 21.05
426 440 12.46
427 387 12.95
427 316 9.77
427 343 5.10
427 424 11.83
427 442 7.16
428 321 5.63
428 205 23.82
428 420 15.65
428 327 11.44
429 331 6.78
429 412 10.83
429 277 9.68
429 381 24.42
429 310 17.52
429 401 12.86
429 411 23.19
429 418 14.22
429 355 1.79
430 431 17.02
430 448 13.86
430 447 2.64
430 240 5.74
430 418 18.27
430 421 16.58
430 437 5.69
431 387 15.02
431 417 18.55
431 430 16.93
431 183 8.41
431 64 21.48
431 167 21.58
431 397 5.90
432 435 19.45
432 308 18.20
432 205 2.86
432 446 12.78
432 373 23.49
432 343 13.44
432 317 14.77
433 272 20.94
433 363 20.97
433 110 22.36
433 365 22.45
433 412 19.13
433 351 21.02
433 174 7.20
433 302 14.22
433 441 21.27
434 440 9.34
434 419 12.70
434 265 6.33
434 136 19.20
434 446 20.72
434 241 11.53
435 432 5.68
435 1 13.39
435 171 1.98
435 309 18.41
435 388 6.47
435 345 14.24
435 385 3.13
436 356 11.77
436 366 12.24
436 411 14.73
436 350 22.37
436 416 5.56
436 419 15.32
436 381 19.18
436 240 18.84
437 449 2.15
437 352 21.29
437 389 8.85
437 424 18.74
437 430 24.89
437 163 2.22
437 373 1.19
437 319 12.67
437 289 9.15
437 186 10.49
438 302 11.44
438 448 1.83
438 416 14.68
438 378 24.90
438 445 1.28
438 276 10.94
438 440 9.83
438 421 24.78
439 373 7.47
439 376 17.56
439 358 2.61
439 393 7.96
439 90 6.91
439 400 23.62
439 315 9.18
439 349 16.27
440 364 23.27
440 426 2.80
440 438 10.57
440 349 4.30
440 434 7.55
440 60 21.63
440 293 12.45
440 88 23.28
440 205 21.62
441 412 4.04
441 371 22.52
441 224 3.64
441 370 17.31
441 115 13.00
441 96 12.52
441 433 16.27
441 407 3.86
442 210 15.15
442 237 15.34
442 282 7.94
442 408 16.51
442 128 2.10
442 161 16.23
442 427 10.84
442 94 6.93
443 395 10.08
443 403 4.66
443 373 13.89
443 276 4.28
443 379 23.87
443 348 13.71
443 318 15.64
443 280 19.56
444 449 2.57
444 359 9.71
444 386 22.39
444 330 18.16
444 313 13.05
444 417 10.77
444 339 7.42
444 380 9.25
444 26 12.88
444 383 9.17
445 159 2.99
445 438 24.70
445 226 12.37
445 326 4.17
445 373 4.92
445 169 12.46
445 239 13.52
445 314 8.02
445 319 5.40
445 190 17.02
446 315 23.76
446 448 20.03
446 331 1.91
446 357 23.66
446 293 21.95
446 413 23.33
446 381 9.91
446 432 7.43
446 354 6.64
446 434 23.14
447 406 23.10
447 407 19.40
447 414 4.28
447 412 13.20
447 430 20.90
447 258 11.04
447 224 23.04
447 363 9.31
447 131 15.13
448 430 21.47
448 401 22.06
448 446 12.51
448 392 19.29
448 438 20.32
448 272 1.90
448 30 16.74
448 327 4.55
448 403 6.93
448 247 21.91
449 399 19.81
449 370 13.99
449 437 18.71
449 221 10.25
449 444 8.30
449 355 18.80
449 132 1.25
449 164 12.31
449 44 19.18
449 124 24.41
